MLDB_Number,Latitude,Longitude
1,37.950225,-119.829081
2,38.15098919,-116.7311715
3,38.846435,-120.041991
4,39.97425095,-118.2408447
5,40.5,-114.036
6,40.7549,-114.0102
7,40.78989688,-112.6419438
8,41.07,-113.88
9,41.479,-112.452
10,41.556813,-113.638231
11,41.602202,-113.815141
12,41.679259,-118.717094
13,41.731635,-119.134785
14,41.917,-113.356
15,41.960409,-121.797887
16,41.982402,-113.736105
17,42.199257,-113.667599
18,42.252013,-121.792811
19,42.322063,-113.649931
20,42.39959167,-121.877747
21,42.629192,-118.588614
22,42.670697,-120.400001
23,42.737033,-118.647315
24,42.876337,-120.76443
25,42.926979,-122.426989
26,42.92741728,-121.5219804
27,42.96061,-122.053208
28,43.045862,-122.353869
29,43.144409,-121.796963
30,43.15,-122.25
31,43.15,-122.21
32,43.157975,-121.019481
33,43.26055961,-121.4991712
34,43.262993,-122.4338
35,43.335487,-121.757624
36,43.354138,-121.177124
37,43.370862,-121.065873
38,43.582907,-121.088197
39,43.636001,-122.041025
40,43.681272,-121.035388
41,43.71519,-125.719843
42,43.75054,-110.73428
43,43.7688971,-121.632961
44,43.769619,-121.624454
45,43.979754,-114.882007
46,44.00610481,-121.6757426
47,44.021667,-121.543611
48,44.069304,-114.889116
49,44.099167,-121.6275
50,44.13317341,-120.6987345
51,44.15215301,-109.1824759
52,44.167248,-123.584502
53,44.186112,-120.700684
54,44.442778,-121.786667
55,44.55443198,-120.3206694
56,44.55921,-121.288296
57,44.592365,-121.285438
58,44.608169,-119.036203
59,44.769444,-121.777778
60,44.79654169,-122.8500073
61,44.821038,-119.903462
62,44.919986,-116.069836
63,44.959342,-118.231676
64,45.041662,-121.101795
65,45.16787154,-122.7985006
66,45.325158,-112.956706
67,45.35290122,-118.1937818
68,45.36833679,-116.9945815
69,45.386414,-117.425074
70,45.627,-121.127948
71,45.633556,-120.915524
72,45.691967,-113.949188
73,45.70283033,-118.0335698
74,45.724751,-120.59028
75,45.725505,-120.183441
76,45.753348,-118.158017
77,45.756104,-118.10377
78,45.899549,-118.986524
79,45.918393,-120.882501
80,45.95489,-119.032356
81,46.000839,-118.97537
82,46.001999,-117.045646
83,46.04847,-118.656775
84,46.066224,-117.011318
85,46.091866,-116.984443
86,46.10136406,-118.471133
87,46.10327,-123.55134
88,46.15,-123.03
89,46.183978,-119.032231
90,46.270006,-116.999309
91,46.4411609,-117.151634
92,46.457949,-117.185991
93,46.458547,-119.121915
94,46.46807355,-116.8403492
95,46.500179,-119.630091
96,46.5084,-117.997094
97,46.508537,-118.618465
98,46.543698,-118.533046
99,46.558735,-122.295663
100,46.595939,-118.217379
101,46.701268,-118.412271
102,46.703812,-114.35067
103,46.727267,-118.158146
104,46.915977,-121.6376
105,46.934574,-117.702847
106,46.951776,-113.794389
107,46.969007,-121.812602
108,46.97289812,-118.2066807
109,47.123658,-111.917052
110,47.13,-87.82
111,47.17595,-121.929917
112,47.31912283,-110.4956349
113,47.328639,-117.681883
114,47.382505,-122.040894
115,47.43,-122.338558
116,47.438332,-122.292612
117,47.58307013,-121.9491959
118,47.624553,-122.264756
119,47.695027,-121.849681
120,47.76190457,-118.5000566
121,47.768299,-118.548676
122,47.773226,-117.09948
123,47.80944,-121.594935
124,47.810671,-124.202155
125,47.817931,-112.182728
126,47.897077,-122.881425
127,48.095363,-119.822791
128,48.1685,-114.3592
129,48.184076,-117.790589
130,48.212777,-120.125389
131,48.361,-123.597
132,48.459379,-117.808224
133,48.463846,-123.42111
134,48.467194,-111.35168
135,48.469627,-117.726685
136,48.476,-123.466
137,48.489667,-123.469108
138,48.492832,-123.385697
139,48.496575,-123.4523
140,48.580023,-116.956851
141,48.596931,-116.971806
142,48.603588,-123.292512
143,48.624672,-121.34682
