Locality,Reference,Distance_vent_km,lat,long,gm2,phi_5,phi_4.5,phi_4,phi_3.5,phi_3,phi_2.5,phi_2,phi_1.5,phi_1,phi_0.5,phi0,phi0.5,phi1,phi1.5,phi2,phi2.5,phi3,phi3.5,phi4,phi4.5,phi5,phi5.5,phi6,phi6.5,phi7,phi7.5,phi8,phi8.5,phi9,phi9.5,phi10,phi10.5,phi11,phi11.5
CAREY 1,"Carey and Sigurdsson, 1982",10,46.24402182,-122.0710338,158000,0,0,0,1.089108911,2.772277228,3.069306931,6.930693069,8.415841584,8.217821782,12.27722772,12.57425743,14.95049505,8.811881188,3.861386139,1.287128713,0.693069307,1.188118812,1.386138614,1.386138614,0.99009901,1.782178218,1.287128713,1.188118812,1.386138614,1.386138614,0.99009901,0.693069307,0.594059406,0.792079208,0,0,0,0,0
CAREY 20,"Carey and Sigurdsson, 1982",27,46.31432151,-121.9035682,28440,0,0,0,0,0,0,0,0,0,0,3.70741483,7.314629259,22.54509018,37.1743487,8.71743487,1.402805611,1.102204409,1.002004008,1.402805611,0.901803607,1.903807615,1.803607214,1.402805611,2.004008016,2.004008016,1.603206413,1.503006012,1.503006012,1.002004008,0,0,0,0,0
CAREY 66,"Carey and Sigurdsson, 1982",106,46.66762501,-121.0946058,11060,0,0,0,0,0,0,0,0,0,0,0,0.099502488,2.288557214,4.07960199,28.15920398,12.23880597,6.666666667,3.582089552,2.786069652,3.084577114,4.577114428,5.771144279,5.771144279,6.567164179,5.671641791,4.179104478,2.786069652,1.293532338,0.39800995,0,0,0,0,0
DZ20-6,"Eychenne et al., 2012 and references within",136,46.51696038,-120.4808979,4740,0,0,0,0,0,0,0,0,0,0,0,1.089716,9.456837,17.176562,18.079966,11.953689,4.559937,1.001766,1.327492,2.894277,3.938733,4.275701,4.213095,3.9071,3.402475,2.864438,2.465694,2.177738,1.887743,1.459683,0.990811,0.619781,0.254348,0.002419
DZ20-5,"Eychenne et al., 2012 and references within",138,46.4534,-120.4312,2370,0,0,0,0,0,0,0,0,0,0,0,0.133855,6.470304,15.180927,19.355604,15.558166,7.598677,2.168426,1.396082,2.842798,3.92525,4.059956,3.752705,3.380714,2.962231,2.522582,2.166076,1.893116,1.634646,1.276173,0.886963,0.574018,0.257289,0.003441
DZ20-3,"Eychenne et al., 2012 and references within",145,46.37046401,-120.3202031,1185,0,0,0,0,0,0,0,0,0,0,0,0,2.509947,13.169055,19.494966,16.94966,8.790246,2.54161,1.390274,2.968581,4.238815,4.402962,4.058101,3.681304,3.279643,2.837764,2.450718,2.126054,1.80877,1.394094,0.967736,0.637143,0.298402,0.004154
DZ20-16,"Eychenne et al., 2012 and references within",149,46.72383021,-120.4034097,8580,0,0,0,0,0,0,0,0,0,0,0,0.709371,7.389436,14.380225,16.77265,13.198771,6.88946,2.55208,1.736383,2.808862,3.897307,4.403779,4.463753,4.223144,3.72175,3.121218,2.619892,2.229007,1.863255,1.393602,0.913982,0.551557,0.160515,0
DZ20-25,"Eychenne et al., 2012 and references within",152,47.00609334,-120.5905919,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079782,2.345676,5.268229,7.142491,8.185333,8.892889,9.451212,9.761749,9.59671,8.743845,7.287176,5.578127,4.124658,3.222799,2.744037,2.415238,1.969237,1.475309,1.072001,0.572528,0.070974
DZ20-21,"Eychenne et al., 2012 and references within",157,46.84383299,-120.376709,14245,0,0,0,0,0,0,0,0,0,0,0,0,2.285392,8.526612,13.591874,14.150922,9.818643,4.592882,2.227612,2.897476,4.647748,5.916984,6.227459,5.733931,4.771128,3.766345,3.012971,2.482094,2.028236,1.492206,0.979992,0.614882,0.233625,0.000987
DZ20-32,"Eychenne et al., 2012 and references within",157,47.16461884,-120.7048883,770,0,0,0,0,0,0,0,0,0,0,0,0,0.439185,1.527432,2.090731,2.815305,4.770684,8.146068,11.196634,12.226306,11.386835,9.864025,8.279373,6.650984,4.995029,3.623842,2.788889,2.374323,2.113606,1.749918,1.337848,0.997599,0.550094,0.075289
