"phi","PDF","CDF"
-5,0,0
-4.5,0,0
-4,0,0
-3.5,0.247598054868815,0.247598054868815
-3,0.630249594211528,0.877847649080343
-2.5,0.697776336448478,1.57562398552882
-2,1.57562398530148,3.1512479708303
-1.5,1.91325769648623,5.06450566731653
-1,1.86823986832826,6.93274553564479
-0.5,2.79110534488455,9.72385088052934
0,3.20856561058373,12.9324164911131
0.5,4.1183397917206,17.0507562828337
1,4.63678512556679,21.6875414084005
1.5,5.63668578082947,27.3242271892299
2,4.36753947745382,31.6917666666838
2.5,3.03697290857954,34.7287395752633
3,3.47650978412089,38.2052493593842
3.5,4.06213979312646,42.2673891525107
4,4.57474330337509,46.8421324558857
4.5,5.27999247621609,52.1221249321018
5,6.66643164307374,58.7885565751756
5.5,7.56526861760418,66.3538251927798
6,7.58697596586206,73.9408011586418
6.5,6.90172914942432,80.8425303080661
7,5.60518135614283,86.447711664209
7.5,4.08674381974404,90.534455483953
8,3.03508981560836,93.5695452995614
8.5,2.28745092981473,95.8569962293761
9,1.80535371226259,97.6623499416387
9.5,1.03107385751932,98.693423799158
10,0.677785967183275,99.3712097663413
10.5,0.436379048241288,99.8075888145826
11,0.189009220702642,99.9965980352852
11.5,0.00340196471480088,100
